user_id,session_id,subscription_type,user_journey
1516,2980231-2980248-2992252-3070491-3709807-3723132-3723365-3723382-3723427-3723483-3723508-3724778-3726160,Annual,Homepage-Log in-Other-Sign up-Log in-Homepage-Log in-Checkout-Coupon-Checkout
3395,1415870-3645805-3657408-3712148-3713857,Annual,Other-Pricing-Sign up-Log in-Homepage-Pricing-Checkout
10107,360608-360609-3653049-3655508-3655510-3655968-3656751-3656761-3657001-3657036-3657049-3657083-3657114-3657143-3657160-3657165,Annual,Homepage-Career tracks-Homepage-Career tracks-Sign up-Log in-Homepage-Resources center-Other-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Log in-Homepage-Log in-Checkout-Log in-Checkout-Log in-Checkout
11145,501166-802038-2173786-2173790-3604036-3616619-3663283-3732821-3762550-3820355-3824728,Monthly,Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
12400,3981254-3981424-4007641-4007777,Monthly,Homepage-Career tracks-Sign up-Log in-Other-Career track certificate-Resources center-Homepage-Instructors-Homepage-Log in-Checkout
13082,4082241-4170113-4170146-4179007-4179383,Monthly,Checkout-Homepage-Sign up-Log in-Checkout
14415,3592143-3666190-3722839-3828098-3828133,Monthly,Pricing-Sign up-Pricing-Sign up-Homepage-Log in-Checkout
15630,2360774-2360797-2438194-2654704-2695814-2747975-2748108-2748346-2748553-2751020-2751100-2840652-3092839-3525204-4227640-4227849-4227990-4691158-4714040-4745433-4793691,Annual,Log in-Checkout-Pricing-Checkout-Other-Homepage-Log in-Checkout-Coupon-Homepage-Log in-Checkout
16589,3493454-3503180-3528526,Quarterly,Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Sign up-Homepage-Sign up-Checkout
19458,1625604-1625657-1751858-2438676-4806190-4840382-4840540-4840581-4840878,Annual,Homepage-Sign up-Log in-Other-Homepage-Pricing-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Courses-Coupon
20355,4283897-4285452-4285577,Monthly,Pricing-Courses-Career track certificate-Pricing-Homepage-Log in-Checkout
22679,3647017-3648373,Annual,Coupon
23292,1128802-1265658-3079160-3079551-3192980-3803039-4723711-4723763-4723779-4826927-4826932,Annual,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Coupon-Homepage-Log in-Checkout-Log in-Checkout
24414,3634177-3634180,Annual,Coupon
31705,744069-744083-3591399-3591408-3591431-3592763-3592778-3592875,Annual,Homepage-Pricing-Career tracks-Checkout-Homepage-Log in-Checkout
34689,1213267-1349199-1349239-3728492-3782453-3959616-3969165,Monthly,Log in-Homepage-Log in-Homepage-Career tracks-Courses-Sign up-Log in-Homepage-Log in-Checkout
34912,1176723-3611156-3611166,Annual,Log in-Checkout
37614,465750-465791-477913-491979-501579-507882-509732-1855085-2144317-2234285-2556929-2580957-2583238-2583295-2707469-2738633-2739877-2743946-2960407-2960417-3229791-3578314-3581347-3581355-3585373-3592447-3597973-3601797-3601812-3610272-3611114-3611187-3612254-3612310,Annual,Pricing-Log in-Resources center-Log in-Sign up-Log in-Checkout-Log in-Checkout-Homepage-Courses-Pricing-Homepage-Career tracks-Sign up-Homepage-Pricing-Coupon-Pricing-Checkout-Pricing-Checkout-Homepage-Career tracks-Homepage-Career tracks-Pricing-Career tracks-Pricing-Homepage-Other-Homepage-Log in-Checkout-Homepage-Log in-Homepage-Log in-Coupon
37828,4718193-4718299-4718441-4718674-4828656-4833046-4833056,Annual,Homepage-Courses-Sign up-Log in-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Sign up-Log in-Other-Resources center-Homepage-Pricing-Checkout-Pricing-Courses-Log in-Checkout
39452,3747997-3777626-3780196-3780278,Annual,Courses-Sign up-Log in-Other-Coupon
41200,3597671-3597893-3653885-3653958-3654042-3697645,Annual,Coupon-Checkout
49669,4837749-4837872,Annual,Coupon-Other-Coupon
60084,4705653,Monthly,Other
71559,3614913-3615042,Annual,Coupon-Pricing-Sign up-Pricing-Checkout
72771,3655006-3752509,Monthly,Log in-Checkout
74256,4709692-4711043-4725065-4725163,Annual,Sign up-Log in-Other-Homepage-Log in-Checkout
75048,558437-558438-558457-2055885-2350786-2797627-3615439,Annual,Resources center-Log in-Resources center-Log in-Other-Log in-Other-Courses-Log in-Coupon
82563,4266984-4267992-4269029,Monthly,Courses-Sign up-Checkout
88208,3470241-3472094-3472125-3472188-3472441-3477661-3618788-3619207-3623970-3625342-3629254-3629369-3630604-3639385-3641543-3641552-3641605-3641648,Annual,Homepage-Career tracks-Pricing-Career tracks-Courses-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Course certificate-Resources center-Pricing-Log in-Homepage-Pricing-Career tracks-Courses-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Homepage-Log in-Homepage-Career track certificate-Career tracks-Courses-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
96793,3591450-3591456,Annual,Homepage-Pricing-Coupon
97516,1411615-3755045-3755132,Annual,Other-Homepage-Courses-Coupon
102461,3023818-3598531-3609644,Annual,Instructors-Pricing-Homepage-Success stories-Pricing-Coupon
105172,1142974-1784378-3598970,Annual,Other-Log in-Coupon
105951,3707087-3708891,Annual,Coupon-Pricing-Checkout
108970,908145-1095319-1356158-1652173-1917776-1917812-2482039-3333726-3403196-3464962-3469496-3471532-3474562-3475055-3475496-3521787-3530118-3665320-3681256-3681271,Annual,Homepage-Courses-Homepage-Career track certificate-Career tracks-Homepage-Sign up-Homepage-Course certificate-Homepage-Course certificate-Career track certificate-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Homepage-Career track certificate-Other-Log in-Homepage-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Checkout-Homepage-Sign up-Homepage-Pricing-Checkout-Homepage-Sign up-Homepage-Pricing-Sign up-Checkout-Homepage-Pricing-Checkout-Pricing-Upcoming courses-Courses-Sign up-Log in-Sign up-Courses-Homepage-Pricing-Checkout-Log in-Coupon
110519,3782266-3783503,Annual,Coupon
120485,2195477-2478601-2749182-2882468-3133194-3409566-3409921-3410166-3463173-3475661-3475668-3475729-3482045,Monthly,Other-Log in-Homepage-Sign up-Homepage-Log in-Homepage-Pricing-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Upcoming courses-Courses-Resources center-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Other-Pricing-Career tracks-Checkout
121047,2461078-2461195-2488122-2488191-4596804-4672735,Annual,Other-Log in-Homepage-Pricing-Other-Courses-Sign up-Pricing-Sign up-Log in-Other-Coupon
125167,4637825-4658873-4780659-4791737,Annual,Homepage-Sign up-Homepage-Career tracks-Sign up-Homepage-Log in-Other-Coupon
126202,139520-139525-1217785-2506145-2506763-3748210-4715267-4715301-4715545-4715590-4715618-4715643-4722382-4722444,Annual,Resources center-Log in-Other-Log in-Courses-Sign up-Log in-Coupon-Homepage-Career track certificate-Sign up-Career track certificate-Resources center-Career tracks-Pricing-Checkout-Coupon
135366,3601231-3603367,Annual,Homepage-Career tracks-Coupon
142012,1712899-1814129-2969507-3954150-4113053,Monthly,Other-Log in-Homepage-Log in-Homepage-Log in-Other-Log in-Homepage-Log in-Checkout
143885,3010869-3619279-3619494-3637054,Annual,Resources center-Courses-Resources center-Courses-Sign up-Homepage-Career track certificate-Log in-Sign up-Log in-Checkout-Coupon
148246,3756111-3772007-3779002-3784157,Annual,Log in-Coupon
150335,3715580-3728028-3732506-3732523,Annual,Homepage-Career track certificate-Homepage-Career track certificate-Career tracks-Sign up-Checkout
150418,560845-572991-573013-574085-575772-589044-1501378-1501432-1725438-1725502-1971555-3751441-3774587-3774826-3775611-3776041-3777311-3786030-3786228-3786592-3786714-3786746-3786759-3786765-3786780-3786783-3786905-3903698-3979113,Annual,Resources center-Other-Sign up-Homepage-Pricing-Career track certificate-Pricing-Course certificate-Resources center-Courses-Sign up-Courses-Sign up-Log in-Homepage-Courses-Sign up-Log in-Homepage-Sign up-Log in-Other-Log in-Homepage-Courses-Log in-Homepage-Career tracks-Courses-Sign up-Log in-Checkout-Log in-Sign up-Coupon-Checkout-Log in-Sign up-Other-Courses-Coupon-Other-Courses-Coupon-Log in-Coupon
151003,3830350-3830358-3830463-3830595-3831720,Quarterly,Homepage-Pricing-Career track certificate-Homepage-Pricing-Homepage-Pricing-Checkout-Homepage-Log in
152002,1020198-1020207-1020219-1020222-1020223-1020224-1197529-3201734-3209321-3590667,Annual,Resources center-Log in-Resources center-Other-Resources center-Sign up-Resources center-Other-Resources center-Other-Resources center-Other-Log in-Resources center-Other-Resources center-Checkout
152882,3551241-3665255-3771924-3771988,Monthly,Career tracks-Courses-Sign up-Log in-Homepage-Pricing-Checkout-Pricing-Checkout-Coupon
